Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,Agent,Country,State or Province,City,Order Date,Ship Date,Profit,Quantity ordered new,Sales
High,0.02,40.99,17.48,1005,Lloyd Dickson,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1893,0.36,Central,Chris,United States,Illinois,Buffalo Grove,27/02/2015,28/02/2015,551.09,23,950.43
High,0.01,3.15,0.49,1008,Priscilla Frank,Regular Air,Home Office,Office Supplies,Labels,Small Box,Self-Adhesive Removable Labels,0.37,East,Erin,United States,Maine,Gorham,25/05/2015,27/05/2015,17.51,8,25.37
High,0.1,550.98,45.7,1009,Kristin George,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,0.71,East,Erin,United States,Maine,Saco,19/06/2015,21/06/2015,818.55,14,6963.67
Critical,0.09,28.48,1.99,1014,Theresa Winters,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",0.4,South,Sam,United States,Arkansas,Bryant,01/03/2015,02/03/2015,-17.15,6,160.17
Critical,0,2.08,5.33,1014,Theresa Winters,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon¨ Wave Desk Accessories,0.43,South,Sam,United States,Arkansas,Bryant,01/03/2015,03/03/2015,-29.54,3,7.47
Critical,0.06,45.99,4.99,1014,Theresa Winters,Express Air,Home Office,Technology,Telephones and Communication,Small Box,KF 788,0.56,South,Sam,United States,Arkansas,Bryant,01/03/2015,02/03/2015,-329.78,10,370.81
Not Specified,0.08,10.91,2.99,1014,Theresa Winters,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Heavy-Duty E-Z-D¨ Binders,0.38,South,Sam,United States,Arkansas,Bryant,05/03/2015,06/03/2015,-2.1,11,119.99
Medium,0,43.98,8.99,1015,Beverly Cameron,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,0.58,South,Sam,United States,North Carolina,Apex,18/03/2015,18/03/2015,829.47,14,650.7
High,0.02,6.48,7.86,1016,Francis Sherrill,Express Air,Home Office,Office Supplies,Paper,Small Box,Xerox 213,0.37,South,Sam,United States,North Carolina,Asheville,12/06/2015,13/06/2015,111.22,1,11.41
Medium,0.05,35.89,14.72,1018,Meredith Humphrey,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,0.4,South,Sam,United States,North Carolina,Cary,08/04/2015,09/04/2015,22.87,19,680.39
Medium,0,11.48,5.43,1018,Meredith Humphrey,Regular Air,Home Office,Office Supplies,Paper,Small Box,Personal Creationsª Ink Jet Cards and Labels,0.36,South,Sam,United States,North Carolina,Cary,08/04/2015,08/04/2015,115.73,6,75.52
Critical,0.09,517.48,16.63,1020,Julie Porter,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Box,Panasonic KX-P3626 Dot Matrix Printer,0.59,Central,Chris,United States,Kansas,Pittsburg,07/03/2015,07/03/2015,909.36,5,2354.54
Critical,0.07,4.13,5.04,1020,Julie Porter,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"ACCOHIDE¨ 3-Ring Binder, Blue, 1""",0.38,Central,Chris,United States,Kansas,Pittsburg,06/02/2015,07/02/2015,-76.42,20,79.06
Critical,0,4.48,2.5,1020,Julie Porter,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Ampad #10 Peel & Seel¨ Holiday Envelopes,0.37,Central,Chris,United States,Kansas,Pittsburg,06/02/2015,08/02/2015,8.73,14,65.14
Critical,0.02,39.06,10.55,1023,Glen Newman,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Ibico Recycled Linen-Style Covers,0.37,East,Erin,United States,Pennsylvania,Wilkinsburg,15/05/2015,15/05/2015,442.09,16,640.71
Critical,0.1,37.7,2.99,1023,Glen Newman,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Vinyl Sectional Post Binders,0.35,East,Erin,United States,Pennsylvania,Wilkinsburg,15/05/2015,16/05/2015,455.12,18,659.6
Not Specified,0.08,65.99,5.92,1026,Eugene Kerr,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,i500plus,0.58,East,Erin,United States,New York,Central Islip,07/02/2015,07/02/2015,624.4,22,1137.6
High,0.1,5.98,3.85,1026,Eugene Kerr,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",0.68,East,Erin,United States,New York,Central Islip,29/05/2015,30/05/2015,18.92,26,151.55
High,0.07,2.61,0.5,1026,Eugene Kerr,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 494,0.39,East,Erin,United States,New York,Central Islip,29/05/2015,01/06/2015,39.35,22,57.03
High,0.1,73.98,4,1027,Brian Bennett,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Keytronic French Keyboard,0.79,East,Erin,United States,New York,Cheektowaga,12/03/2015,13/03/2015,-229.87,5,347.23
High,0.05,51.98,10.17,1027,Brian Bennett,Regular Air,Small Business,Technology,Office Machines,Medium Box,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,0.37,East,Erin,United States,New York,Cheektowaga,12/03/2015,13/03/2015,329.98,9,478.23
Medium,0.07,7.08,2.35,1028,Marguerite Rodgers,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accentª Highlighters,0.47,East,Erin,United States,New York,Commack,29/03/2015,30/03/2015,30.49,13,93.82
Not Specified,0.05,83.1,6.13,1028,Marguerite Rodgers,Express Air,Small Business,Technology,Computer Peripherals,Small Box,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",0.45,East,Erin,United States,New York,Commack,08/05/2015,09/05/2015,1152.53,20,1670.33
Critical,0.07,125.99,2.5,1035,Kent Burton,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,i2000,0.6,East,Erin,United States,Ohio,Delaware,13/03/2015,13/03/2015,-604.41,1,100.59
Critical,0.03,99.99,19.99,1036,Jessica Huffman,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,US Robotics 56K V.92 External Faxmodem,0.52,East,Erin,United States,Ohio,Dublin,13/03/2015,14/03/2015,293.66,6,598.38
Critical,0.1,7.64,5.83,1038,Jon Hale,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",0.36,South,Sam,United States,Florida,Belle Glade,16/06/2015,17/06/2015,-403.19,5,39.36
Critical,0.06,55.94,4,1041,Mildred Chase,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,"Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum",0.74,West,William,United States,California,Woodland,17/04/2015,18/04/2015,-13.77,6,322.77
Critical,0.07,6.3,0.5,1041,Mildred Chase,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 48,0.39,West,William,United States,California,Woodland,17/04/2015,17/04/2015,44.91,11,65.09
Critical,0,14.42,6.75,1042,Jerome Burch,Express Air,Small Business,Office Supplies,Appliances,Medium Box,Holmes Odor Grabber,0.52,West,William,United States,California,Yuba City,16/05/2015,17/05/2015,9.33,6,98.96
Critical,0.02,209.84,21.21,1044,Erin Ballard,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,0.59,West,William,United States,California,Los Angeles,14/06/2015,14/06/2015,2593.14,62,13546.94
Critical,0.01,194.3,11.54,1044,Erin Ballard,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,Electrix Halogen Magnifier Lamp,0.59,West,William,United States,California,Los Angeles,14/06/2015,16/06/2015,1162.76,32,6401.65
High,0,6.68,5.66,1044,Erin Ballard,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1923,0.37,West,William,United States,California,Los Angeles,27/02/2015,28/02/2015,-76.94,90,617.4
High,0,6.68,5.66,1047,Gayle Pearson,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1923,0.37,East,Erin,United States,Massachusetts,Boston,27/02/2015,28/02/2015,-40.01,23,157.78
Not Specified,0.03,5.44,7.46,1054,Keith R Atkinson,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Custom Binder Spines & Labels,0.36,West,William,United States,Arizona,Surprise,25/05/2015,27/05/2015,-51.7,4,26.31
Not Specified,0.08,26.38,5.58,1054,Keith R Atkinson,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1883,0.39,West,William,United States,Arizona,Surprise,25/05/2015,26/05/2015,144.75,8,209.78
Not Specified,0.06,20.99,2.5,1054,Keith R Atkinson,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,Accessory37,0.81,West,William,United States,Arizona,Surprise,25/05/2015,27/05/2015,-112.19,1,17.83
Medium,0.09,138.75,52.42,1060,Gene Gilliam,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Balt Split Level Computer Training Table,0.74,South,Sam,United States,Georgia,Atlanta,24/03/2015,25/03/2015,-445.97,23,2527.79
Low,0.07,6.3,0.5,1060,Gene Gilliam,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 51,0.39,South,Sam,United States,Georgia,Atlanta,30/05/2015,30/05/2015,4.17,20,121.87
Medium,0.09,138.75,52.42,1062,Willie Robinson,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Balt Split Level Computer Training Table,0.74,East,Erin,United States,New York,Coram,24/03/2015,25/03/2015,-335.32,6,659.42
Low,0.04,22.38,15.1,1062,Willie Robinson,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Flip-Chart Easel Binder, Black",0.38,East,Erin,United States,New York,Coram,30/05/2015,07/06/2015,16.02,18,403.53
Low,0.06,17.78,5.03,1062,Willie Robinson,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,"Seth Thomas 13 1/2"" Wall Clock",0.54,East,Erin,United States,New York,Coram,30/05/2015,02/06/2015,38.07,3,55.17
Critical,0.01,15.99,13.18,1065,Vicki Bond,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",0.37,Central,Chris,United States,Illinois,Burbank,18/02/2015,20/02/2015,-99.44,23,377.44
Low,0.04,22.84,16.87,1068,Erik Barr,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1982,0.39,Central,Chris,United States,Illinois,Calumet City,16/03/2015,16/03/2015,-97.28,12,286.4
Medium,0.02,15.94,5.45,1069,Pam Bennett,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Boston 16701 Slimline Battery Pencil Sharpener,0.55,Central,Chris,United States,Illinois,Carbondale,14/05/2015,15/05/2015,139.61,41,664.34
Not Specified,0.01,150.89,60.2,1072,Marion Owens,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Leather & Oak Executive Chair, Burgundy",0.77,East,Erin,United States,Pennsylvania,Bethlehem,27/03/2015,30/03/2015,-505.76,3,473.53
High,0.04,19.23,6.15,1075,Theodore Tyson,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"Executive Impressions 13"" Clairmont Wall Clock",0.44,Central,Chris,United States,Illinois,Romeoville,09/03/2015,10/03/2015,152.43,11,220.92
Not Specified,0.08,13.9,7.59,1080,Colleen Fletcher,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",0.56,Central,Chris,United States,Illinois,Saint Charles,08/05/2015,09/05/2015,9.86,14,196.41
Not Specified,0.07,55.99,5,1083,Hazel Dale,Express Air,Corporate,Technology,Telephones and Communication,Small Pack,Accessory36,0.83,Central,Chris,United States,Illinois,Springfield,31/03/2015,02/04/2015,-232.99,1,54.08
Not Specified,0.05,7.64,5.83,1085,Ted Dunlap,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",0.36,East,Erin,United States,New York,Deer Park,05/01/2015,06/01/2015,-40.28,6,47.18
High,0.04,9.06,9.86,1085,Ted Dunlap,Regular Air,Home Office,Office Supplies,Paper,Small Box,Southworth 25% Cotton Linen-Finish Paper & Envelopes,0.4,East,Erin,United States,New York,Deer Park,24/04/2015,25/04/2015,-53.25,3,30.87
Not Specified,0.06,30.42,8.65,1085,Ted Dunlap,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,"Fellowes Internet Keyboard, Platinum",0.74,East,Erin,United States,New York,Deer Park,13/05/2015,15/05/2015,-159.25,10,309.05
Not Specified,0.02,37.94,5.08,1085,Ted Dunlap,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Snap-A-Way¨ Black Print Carbonless Ruled Speed Letter, Triplicate",0.38,East,Erin,United States,New York,Deer Park,13/05/2015,14/05/2015,206.52,8,299.3
High,0.04,14.27,7.27,1086,Leon Peele,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",0.38,East,Erin,United States,New York,Dix Hills,24/04/2015,25/04/2015,2.13,3,45.24
Medium,0.02,15.14,4.53,1101,Kimberly McCarthy,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Eldon¨ Gobal File Keepers,0.81,West,William,United States,California,Oxnard,05/05/2015,06/05/2015,5.88,3,51.02
Not Specified,0.05,328.14,91.05,1103,Sidney Bowling,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",0.57,Central,Chris,United States,Nebraska,Omaha,10/04/2015,11/04/2015,772.04,7,2291.39
Not Specified,0.05,328.14,91.05,1104,Timothy Ross,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",0.57,East,Erin,United States,New York,New York City,10/04/2015,11/04/2015,772.04,29,9492.92
Medium,0.04,6.35,1.02,1106,Maxine Collier Grady,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",0.39,Central,Chris,United States,Texas,Dallas,20/05/2015,23/05/2015,81.91,52,318.47
High,0.01,9.31,3.98,1106,Maxine Collier Grady,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme¨ Forged Steel Scissors with Black Enamel Handles,0.56,Central,Chris,United States,Texas,Dallas,21/05/2015,22/05/2015,-10.9,61,586.96
Not Specified,0.08,140.81,24.49,1106,Maxine Collier Grady,Regular Air,Consumer,Furniture,Chairs & Chairmats,Large Box,Hon Olson Stacker Stools,0.57,Central,Chris,United States,Texas,Dallas,06/06/2015,08/06/2015,1232.79,81,11272.77
High,0.01,9.31,3.98,1107,Joanna Keith,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme¨ Forged Steel Scissors with Black Enamel Handles,0.56,Central,Chris,United States,Texas,Lake Jackson,21/05/2015,22/05/2015,2.18,15,144.33
Medium,0.09,31.74,12.62,1108,Dwight Bishop,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Wire Binding Strips,0.37,Central,Chris,United States,Texas,Lancaster,20/05/2015,20/05/2015,67.11,9,270.55
Medium,0.04,6.35,1.02,1108,Dwight Bishop,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",0.39,Central,Chris,United States,Texas,Lancaster,20/05/2015,23/05/2015,54.94,13,79.62
Medium,0.02,65.99,8.99,1108,Dwight Bishop,Express Air,Small Business,Technology,Telephones and Communication,Small Box,Talkabout T8367,0.56,Central,Chris,United States,Texas,Lancaster,20/05/2015,21/05/2015,168.24,8,479.79
Medium,0.08,8.37,10.16,1109,Dennis Welch,Regular Air,Consumer,Furniture,Office Furnishings,Large Box,Westinghouse Clip-On Gooseneck Lamps,0.59,Central,Chris,United States,Texas,Laredo,29/06/2015,29/06/2015,-169.23,13,108.99
Not Specified,0.03,300.98,54.92,1112,Luis Kerr,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,West,William,United States,California,Yucaipa,02/04/2015,04/04/2015,1272.58,12,3527.82
Not Specified,0.02,2550.14,29.7,1112,Luis Kerr,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Epson DFX-8500 Dot Matrix Printer,0.57,West,William,United States,California,Yucaipa,02/04/2015,04/04/2015,-5390.74,2,4698.21
Critical,0.01,2.89,0.5,1113,Julia Reynolds,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 498,0.38,West,William,United States,Colorado,Arvada,06/04/2015,07/04/2015,29.73,14,43.08
Critical,0,55.99,5,1113,Julia Reynolds,Regular Air,Corporate,Technology,Telephones and Communication,Small Pack,Accessory6,0.8,West,William,United States,Colorado,Arvada,06/04/2015,08/04/2015,-187.11,5,258.93
Not Specified,0.06,64.65,35,1117,Samantha Koch,Regular Air,Home Office,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,0.8,West,William,United States,Arizona,Tucson,05/02/2015,06/02/2015,-139.29,4,277.6
Low,0.04,19.98,8.68,1121,Tonya Proctor,Regular Air,Consumer,Office Supplies,Paper,Small Box,Southworth 25% Cotton Premium Laser Paper and Envelopes,0.37,West,William,United States,California,Temecula,07/02/2015,14/02/2015,108,8,168.04
Low,0.08,125.99,7.69,1121,Tonya Proctor,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,Timeport L7089,0.58,West,William,United States,California,Temecula,07/02/2015,09/02/2015,377.15,7,703.46
High,0.03,7.3,7.72,1123,Peggy Lanier,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Angle-D Binders with Locking Rings, Label Holders",0.38,West,William,United States,California,Roseville,15/03/2015,18/03/2015,-127.05,14,103.61
High,0.09,175.99,4.99,1123,Peggy Lanier,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,5165,0.59,West,William,United States,California,Roseville,20/06/2015,22/06/2015,2169.75,22,3144.56
High,0.09,160.98,35.02,1124,Randy Jiang,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,Rush Hierlooms Collection Rich Wood Bookcases,0.72,East,Erin,United States,Connecticut,Norwich,20/06/2015,21/06/2015,-229.93,18,2653.02
Medium,0.02,4.06,6.89,1127,Ray Grady,Regular Air,Consumer,Office Supplies,Appliances,Small Box,Eureka Disposable Bags for Sanitaire¨ Vibra Groomer I¨ Upright Vac,0.6,Central,Chris,United States,Texas,Eagle Pass,24/02/2015,26/02/2015,-93.74,16,66.81
Low,0.04,4.71,0.7,1127,Ray Grady,Regular Air,Consumer,Office Supplies,Rubber Bands,Wrap Bag,Plymouth Boxed Rubber Bands by Plymouth,0.8,Central,Chris,United States,Texas,Eagle Pass,22/06/2015,26/06/2015,4.53,19,90.52
Low,0.06,4.2,2.26,1128,Kurt O'Connor,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",0.36,Central,Chris,United States,Texas,Edinburg,22/06/2015,27/06/2015,9.78,13,55.97
Low,0.04,8.6,6.19,1129,Pam Patton,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Avery Printable Repositionable Plastic Tabs,0.38,East,Erin,United States,Massachusetts,Boston,16/02/2015,23/02/2015,-63.81,37,311.66
Low,0.07,699.99,24.49,1129,Pam Patton,Regular Air,Home Office,Technology,Copiers and Fax,Large Box,Canon Imageclass D680 Copier / Fax,0.54,East,Erin,United States,Massachusetts,Boston,16/02/2015,20/02/2015,325.29,15,9862.51
Not Specified,0.05,5.78,7.64,1129,Pam Patton,Express Air,Corporate,Office Supplies,Paper,Small Box,HP Office Recycled Paper (20Lb. and 87 Bright),0.36,East,Erin,United States,Massachusetts,Boston,29/03/2015,31/03/2015,-116.05,29,177.41
Medium,0.02,7.64,1.39,1129,Pam Patton,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",0.36,East,Erin,United States,Massachusetts,Boston,21/05/2015,23/05/2015,117.38,52,406.91
Low,0.03,30.98,6.5,1129,Pam Patton,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Logitech Internet Navigator Keyboard,0.79,East,Erin,United States,Massachusetts,Boston,13/06/2015,17/06/2015,-144.2,44,1332.09
Low,0.02,4.98,6.07,1129,Pam Patton,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1897,0.36,East,Erin,United States,Massachusetts,Boston,26/01/2015,28/01/2015,-46.92,19,105.5
Medium,0.02,7.64,1.39,1131,Benjamin Strauss,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",0.36,Central,Chris,United States,Texas,El Paso,21/05/2015,23/05/2015,70.19,13,101.73
Medium,0.06,6.37,5.19,1132,Michael Robbins,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",0.38,Central,Chris,United States,Texas,Euless,10/02/2015,11/02/2015,-48.22,6,37.7
Low,0.04,8.6,6.19,1132,Michael Robbins,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Avery Printable Repositionable Plastic Tabs,0.38,Central,Chris,United States,Texas,Euless,16/02/2015,23/02/2015,-63.81,9,75.81
Low,0.07,699.99,24.49,1132,Michael Robbins,Regular Air,Home Office,Technology,Copiers and Fax,Large Box,Canon Imageclass D680 Copier / Fax,0.54,Central,Chris,United States,Texas,Euless,16/02/2015,20/02/2015,325.29,4,2630
Low,0.03,30.98,6.5,1132,Michael Robbins,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Logitech Internet Navigator Keyboard,0.79,Central,Chris,United States,Texas,Euless,13/06/2015,17/06/2015,-115.36,11,333.02
Low,0.02,4.98,6.07,1133,Marjorie Owens,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1897,0.36,Central,Chris,United States,Texas,Farmers Branch,26/01/2015,28/01/2015,-46.92,5,27.76
High,0.09,270.97,28.06,1136,Carmen McPherson,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Epson LQ-570e Dot Matrix Printer,0.56,Central,Chris,United States,Illinois,Carol Stream,02/01/2015,04/01/2015,2660.14,15,3855.28
Medium,0.02,160.98,30,1138,Malcolm Floyd,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,0.62,Central,Chris,United States,Texas,The Colony,16/02/2015,19/02/2015,-51.12,1,192.49
Medium,0.05,363.25,19.99,1142,Russell Chan,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Hoover WindTunnelª Plus Canister Vacuum,0.57,Central,Chris,United States,Texas,Waco,04/01/2015,06/01/2015,1766.78,7,2560.55
Medium,0.01,18.97,9.54,1142,Russell Chan,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1939,0.37,Central,Chris,United States,Texas,Waco,06/06/2015,09/06/2015,85.88,11,227.67
Low,0.05,7.59,4,1151,Edna Huang,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot¨ Doorstop, Safety Yellow",0.42,East,Erin,United States,Massachusetts,South Hadley,09/06/2015,09/06/2015,6.09,1,8.83
Critical,0.09,9.11,2.15,1155,Alex Nicholson,Express Air,Consumer,Office Supplies,Paper,Wrap Bag,"Black Print Carbonless Snap-Off¨ Rapid Letter, 8 1/2"" x 7""",0.4,West,William,United States,California,Montebello,02/01/2015,04/01/2015,20.3,4,34.41
Critical,0.08,15.04,1.97,1155,Alex Nicholson,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,White GlueTop Scratch Pads,0.39,West,William,United States,California,Montebello,02/01/2015,02/01/2015,108.52,11,157.27
High,0.06,175.99,8.99,1156,Edith Forbes,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,2180,0.57,East,Erin,United States,Massachusetts,Tewksbury,14/02/2015,15/02/2015,48.47,7,1013.84
High,0.04,100.98,35.84,1159,Arlene Weeks,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",0.62,East,Erin,United States,New Jersey,Union City,20/05/2015,21/05/2015,-152.76,1,110.75
Not Specified,0.09,9.78,1.39,1170,Jessie Houston,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",0.39,East,Erin,United States,Delaware,Newark,02/06/2015,03/06/2015,125.21,19,181.46
Not Specified,0,200.99,8.08,1170,Jessie Houston,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,5125,0.59,East,Erin,United States,Delaware,Newark,02/06/2015,04/06/2015,281.53,6,1076.3
High,0.03,4.48,49,1178,Sandy Hunt,Regular Air,Consumer,Office Supplies,Appliances,Large Box,Hoover Portapowerª Portable Vacuum,0.6,South,Sam,United States,Florida,Altamonte Springs,09/04/2015,11/04/2015,64.27,2,21.46
High,0.06,350.99,39,1178,Sandy Hunt,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Global Leather Executive Chair,0.55,South,Sam,United States,Florida,Altamonte Springs,09/04/2015,11/04/2015,-302.62,10,3506.78
High,0.09,40.98,6.5,1178,Sandy Hunt,Express Air,Consumer,Technology,Computer Peripherals,Small Box,Targus USB Numeric Keypad,0.74,South,Sam,United States,Florida,Altamonte Springs,09/04/2015,11/04/2015,5.69,7,267.69
High,0.09,349.45,60,1178,Sandy Hunt,Delivery Truck,Consumer,Furniture,Tables,Jumbo Drum,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",,South,Sam,United States,Florida,Altamonte Springs,09/04/2015,10/04/2015,-369.11,7,2307.26
High,0.07,2.61,0.5,1182,Jesse Williamson,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 494,0.39,West,William,United States,Utah,Spanish Fork,23/05/2015,23/05/2015,27.01,15,39.15
Not Specified,0.04,35.99,3.3,1183,Becky O'Brien,Regular Air,Home Office,Technology,Telephones and Communication,Small Pack,Accessory9,0.39,West,William,United States,Utah,Springville,29/06/2015,29/06/2015,184.2,9,266.95
Medium,0,6783.02,24.49,1185,Lee Xu,Regular Air,Consumer,Technology,Office Machines,Large Box,Polycom ViewStationª ISDN Videoconferencing Unit,0.39,South,Sam,United States,Alabama,Madison,21/03/2015,22/03/2015,4.11,3,20552.55
Not Specified,0.08,11.7,6.96,1185,Lee Xu,Regular Air,Consumer,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,0.5,South,Sam,United States,Alabama,Madison,10/04/2015,13/04/2015,28.57,8,87.8
Critical,0.07,400.97,48.26,1186,Glenda Herbert,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Box,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,0.36,West,William,United States,California,Huntington Beach,09/04/2015,10/04/2015,2581.56,10,3741.39
